City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,georgetown,5.4112,100.3354,26.96,87,20,1.54,MY,1729463424
1,chernyshevsk,52.5243,117.0174,-3.66,87,100,7.51,RU,1729463714
2,isafjordur,66.0755,-23.124,0.05,95,100,6.15,IS,1729463715
3,stanley,54.868,-1.6985,11.96,81,20,10.29,GB,1729463661
4,bilibino,68.0546,166.4372,-4.92,91,100,4.01,RU,1729463718
5,vilyuchinsk,52.9306,158.4028,0.15,74,20,10.66,RU,1729463498
6,kourou,5.1552,-52.6478,27.67,78,93,3.69,GF,1729463720
7,carnarvon,-24.8667,113.6333,20.18,70,97,7.75,AU,1729463721
8,khoyniki,51.8911,29.9552,3.93,76,0,1.54,BY,1729463722
9,tiksi,71.6872,128.8694,-9.32,94,100,4.13,RU,1729463724
10,invercargill,-46.4,168.35,13.34,95,93,3.13,NZ,1729463725
11,salinopolis,-0.6136,-47.3561,27.25,83,70,6.8,BR,1729463726
12,yorosso,12.3536,-4.7761,26.49,60,23,2.79,ML,1729463729
13,hermanus,-34.4187,19.2345,13.19,90,1,4.58,ZA,1729463730
14,adamstown,-25.066,-130.1015,19.47,63,41,6.66,PN,1729463583
15,puquio,-14.7,-74.1333,9.54,56,1,4.5,PE,1729463732
16,iqaluit,63.7506,-68.5145,1.85,80,75,6.17,CA,1729463733
17,santa isabel,-23.3156,-46.2214,18.61,97,100,3.03,BR,1729463735
18,nemuro,43.3236,145.575,8.42,64,1,4.42,JP,1729463736
19,margaret river,-33.95,115.0667,13.29,45,79,5.62,AU,1729463738
20,suva,-18.1416,178.4415,25.71,78,75,2.06,FJ,1729463739
21,edinburgh of the seven seas,-37.0676,-12.3116,14.79,90,100,7.84,SH,1729463741
22,port-aux-francais,-49.35,70.2167,4.98,94,100,9.66,TF,1729463742
23,bredasdorp,-34.5322,20.0403,12.56,92,0,2.97,ZA,1729463743
24,grytviken,-54.2811,-36.5092,0.2,93,98,5.24,GS,1729463744
25,flying fish cove,-10.4217,105.6791,24.82,94,100,4.63,CX,1729463745
26,dzhetygara,52.1908,61.2006,6.71,66,99,3.18,KZ,1729463746
27,lebu,-37.6167,-73.65,12.77,88,66,5.08,CL,1729463748
28,helong,42.5397,128.9972,4.68,61,100,1.49,CN,1729463749
29,puerto ayora,-0.7393,-90.3518,20.31,100,91,2.24,EC,1729463750
30,anadyr,64.75,177.4833,1.28,93,100,8.0,RU,1729463751
31,kununurra,-15.7667,128.7333,26.99,89,100,2.57,AU,1729463752
32,fermo,43.1647,13.7233,17.24,94,94,2.52,IT,1729463754
33,mount isa,-20.7333,139.5,25.87,21,0,4.12,AU,1729463755
34,puerto natales,-51.7236,-72.4875,12.25,62,75,4.63,CL,1729463756
35,constantia,44.1833,28.65,3.38,56,3,4.0,RO,1729463592
36,west island,-12.1568,96.8225,24.99,69,20,3.09,CC,1729463758
37,albany,42.6001,-73.9662,14.89,65,17,2.24,US,1729463693
38,jieshi,22.8134,115.8257,24.13,84,57,6.0,CN,1729463761
39,bayji,34.9311,43.487,15.02,24,32,3.63,IQ,1729463762
40,tsiombe,-25.3,45.4833,21.93,96,7,1.48,MG,1729463763
41,tadmur,34.5608,38.2805,13.56,28,16,0.38,SY,1729463764
42,waitangi,-43.9535,-176.5597,11.08,87,35,7.01,NZ,1729463765
43,blackmans bay,-43.0167,147.3167,16.4,80,71,0.89,AU,1729463766
44,quellon,-43.1167,-73.6167,9.67,96,100,3.92,CL,1729463768
45,tazovsky,67.4667,78.7,-2.96,97,100,3.85,RU,1729463534
46,gejiu,23.306,103.1635,12.87,92,94,1.34,CN,1729463770
47,tra mhor,52.1624,-7.1524,12.27,77,80,4.92,IE,1729463771
48,egilsstadir,65.2653,-14.3948,4.95,100,100,4.63,IS,1729463772
49,rupert,42.6191,-113.6772,20.66,36,0,0.0,US,1729463774
